exercise,round,rest
Scapular Shrugs x15,2,30
Incline Push-Up x15,3,60
Negative push-up x12 +Asymmetric push x10-5-5,3,90
Shoulder tap x20,3,30
Lat Pull Down with Towel x15,3,60
Plank x60s,3,60
Leg: Squat to Tiptoe x20,3,60
Leg: Step-up onto chair x12,3,60
Cobra Pose x3,1,30
