exercise,round,rest
Slow Squat x15,2,15
Piston Squat x? +Single Leg Jump Squat x? +Jump Squat x? +Shrimp Squat x? +Squat x? +Calf Raise x30 +Toe Curl x40 +ABS: Bicycle x35,2,90
Back Flexion Stretch x10s +Lower Back Twist Stretch x10s +Pirifomis Muscle Stretch x10s +The cat camel x10s +Cobra Pose x10s,1,30
