exercise,round,rest
Push Up and Shoulder tap x7,2,15
Explosive Push-up x0?-0?-0?,2,30
Asymmetric push x10-10-5,1,30
Chest Wide Stretch x50?,1,60
Lean planche push-up x? +Lean planche hold x? +Hand-stand Push-Up x? +Pike Push-up x? +Lateral Raise with band x? +Lateral Raise x10-10-5,2,70
Back Flexion Stretch x10s +Lower Back Twist Stretch x10s +Pirifomis Muscle Stretch x10s +The cat camel x10s +Cobra Pose x10s,1,30
