exercise,round,rest
Push Up and Shoulder tap x7,2,15
One Arm Push-up xMax,3,30
Push Up xMax +Asymmetric push x10-10-5,1,30
Chest Wide Stretch x30s,1,40
Lean planche push-up xMax +Lean planche hold xMax,3,30
Pike Push-up xMax,1,30
Lateral Raise with band xMax,3,30
Lateral Raise x10-10-5,1,30
Shoulder Stretch x30s,2,35
Cobra Pose x10s +Baby Pose x10s +Back Flexion Stretch x10s +Pirifomis Muscle Stretch x10s +Lower Back Twist Stretch x10s +The cat camel x10s,1,30
