exercise,round,rest
Scapular Pull-up x10,2,15
Front Lever Raise x? +Front Lever hold x? +Pull-up x? +Row with band x? +Standing Lat Pull Down with Towel x10-10-5 +Reverse Snow Angel x12 +Biceps with band x10-5 +ABS: Reverse Crunch x35,2,90
Back Flexion Stretch x10s +Lower Back Twist Stretch x10s +Pirifomis Muscle Stretch x10s +The cat camel x10s +Cobra Pose x10s,1,30
