exercise,round,rest
Slow Squat x15,2,15
Piston Squat and Single Leg Squat xMax,3,30
Wall Sit x60s +ABS: Bicycle x40,1,70
Single Leg Deadlift xMax,3,30
Calf Raise x30 +Toe Curl x40 +ABS: Reverse Crunch x40,1,30
Cobra Pose x10s +Baby Pose x10s +Back Flexion Stretch x10s +Pirifomis Muscle Stretch x10s +Lower Back Twist Stretch x10s +The cat camel x10s,1,30
