exercise,round,rest
Nhảy khởi động x15,2,30
Pistol Squat x6-10,3,90
Side Squat x15,3,90
Burpee(Plank to Jump) x10,4,100
"Row with bar
Superman x10",4,60
ABS:Russian twist x15 (slow),2,30
ABS: Mountant Climber x15,3,30
ABS:Crunch x20,3,20
