exercise,round,rest
Scapular Pull-up x10,2,30
Scapular Austrlian Pull-up x15,2,30
Inverted Deadlift x8,3,90
Tuck Front Lever Raise x6 +Tuck Front Lever hold x10s,3,90
Austrlian Pull-up x10,3,60
L-sit hold x7s,3,30
