exercise,round,rest
"Khởi động vai (nghiêng 1 bên) x15
Simulator of Pull-Up x15",2,10
"Push-up x6
Knee push-up x8
Reverse snow angel x12",3,60
"Đẩy vai với dây x10
Row with band x12",3,50
"Leg: Squat kiễng chân x20
ABS: Crunch x15",3,40
"Leg: Bước chân lên ghế x8
ABS: Bycicle x16",3,40
"Leg: Ngồi xuống ghế x8
ABS: Leg lower plus 10-5-5",3,30
Giãn cơ x3,1,30
