exercise,round,rest
Khởi động vai ở tủ thế chống đẩy (Scapular Push) x10,2,15
Đẩy ngực ngồi hoặc nằm (Bench Press) x45kg,3,30
Đứng ép ngực (Asymmetric push) x10-10-5,1,30
Giãn cơ ngực với tạ đơn (Chest Wide Stretch) x30s,1,40
Ngồi đẩy vai (Shoulder Press) x32kg,3,30
Bay vai với tạ đơn (Lateral Raise with dumbbell) x14kg,3,30
Bay vai với tạ đơn nhẹ 3kg (Lateral Raise) x10-10-5,1,30
Giãn cơ vai với cable (Shoulder Stretch) x30s,2,35
Giãn cơ xMax +Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
