exercise,round,rest
Squat x15,2,15
Ngồi đạp chân (Seated Leg Press) x107kg,3,30
Tập bụng: Gập bụng (ABS: Crunch) x20,1,30
Nằm cuốn chân về sau (Prone Leg Curl) x45kg,3,30
Tập bụng: Ngồi vặn mình sang 2 bên (ABS: Russian Twist) x20,1,30
Giữ tư thế squat rộng chân (Wide Squat Hold) x30s,1,40
Ngồi đá chân phía trước (Seated Leg Curl) x59kg,3,30
Nằm vặn người kèm giãn đùi trước (Lower Back Twist Stretch) x10,1,30
Giãn cơ xMax +Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +The cat camel x10,1,30
