exercise,round,rest
"Pull-up with bar 
Superman x15",2,30
Reverse snow angel x10,3,60
"Row with band x10
Reverse Deadlifts",3,60
Simulator Pull-up 10-10-10,3,60
"Hip thrust hold
Band hold" 30s,3,60
Biceps x15,3,80
