exercise,round,rest
Slow Squat xMax,2,15
Piston Squat xMax +L-sit xMax,3,120
Single Leg Squat xMax +Reverse Crunch x40,3,90
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +The cat camel x10,1,30
