exercise,round,rest
Dip x10 +Push-up x15 +Pull-up x10,2,60
Push-up with weight xMax +Pull-up with weight xMax,3,90
Dip with weight xMax +Front Lever Raise and Hold xMax,3,90
Lateral Raise with band xMax +Row with ring xMax,3,90
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
