exercise,round,rest
Scapular Pull-up x10,2,15
Straight Arm Pulldown x0?-0?-0?,3,30
Row with band x?,1,30
Hollow Hold on Bar x30s,1,40
Pull-up with support x0?-0?-0?,3,30
Standing Lat Pull Down with Towel x10-10-5 +Reverse Snow Angel x12 +Biceps with band x10-5,1,30
Hollow Hold on Bar x30s,1,30
Cobra Pose x10s +Baby Pose x10s +Back Flexion Stretch x10s +Pirifomis Muscle Stretch x10s +Lower Back Twist Stretch x10s +The cat camel x10s,1,30
