exercise,round,rest
Scapular Shrugs and Shoulder tap x16,2,30
Push-Up x5 +Knee Push-Up x8,3,60
Negative Wide Push-Up x15 +Asymmetric push x10-5-5,3,90
Lat Pull Down with Towel x10 + Standing Snow Angel x8,3,60
Plank x50s +Crunch x16,3,40
Leg: Squat to Tiptoe x20,3,60
Leg: Step-up onto chair x14,3,60
Leg: Single Leg Sit Down x14,3,60
Cobra Pose x3,1,30
