exercise,round,rest
Front Lever Raise and Hold xMax,3,120
One-arm Pull-up xMax,3,120
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
