exercise,round,rest
Push-up x20,2,30
"Archer push-up x5
Push-up x10",3,120
Dip x7-10,4,120
"Diamond push-up x15
Asymmetric push 10-5-5",4,120
"Pike push-up
Nâng vai giữa 10-5-5",4,120
Leg: Squat x20,2,30
Leg: Jump squat x20,3,120
