exercise,round,rest
Jump jack x15,2,20
Leg: Jump Squat x10 +Tiptoe x30,3,40
Leg: Wide Squat x10-10-5,3,50
Row with bar x8 +Standing Snow Angels x8,3,40
Plank to Push-up x10 +In and Out Plank x10 +Plank x30s,3,60
Hip thrust single-leg x10,3,60
Cobra Pose x3,1,30
