exercise,round,rest
Scapular Shrugs and Shoulder tap x20 + Standing Lat Pull Down with Towel x10-5-5,2,10
Push-up between 2 chairs x8 +Knee push-up x8 +Standing Snow Angel x12,3,60
Wall walk x5 + Band Shoulder Press x12 +Row with band x15,3,50
Leg: Slow Squat to Tiptoe x20 +ABS: Crunch x30,3,40
Leg: Stand Up Single Leg x12 +ABS: Bycicle x20,3,40
Leg: Step-down on the chair x12 +ABS: Reverse Crunch x25,3,30
Back Flexion Stretch x10 +Lower Back Twist Stretch x10 +Pirifomis Muscle Stretch x10 +The cat camel x10 +Cobra Pose x10,1,30
