exercise,round,rest
ABS: Russian twist x20,3,30
ABS: Crunch,3,20
ABS: Leg lower plus 10-5-5,3,30
ABS: Bycicle x20,3,30
ABS: Flutter x20 + V hold 10s,3,30
Leg: Squat x20,2,30
Leg: Jump squat x20,3,120
Leg: Piston Squat x10,3,120
Leg: Wide squat hold 10-10-5,4,60
Leg: Nhón chân x50,2,90
Leg: Bấm ngón chân x50,2,90
