exercise,round,rest
Bench Press x10 +Negative Push-up x10 +Lateral Pulldown x10,3,90
Incline Dumbbell Bench Press x10 +Asymmetric push x10-10-5 +Lateral Pulldown with bar x10-5-5,3,90
Incline Push-up x10 +Seated Cable Rows x10 +Biceps x15,3,90
Shoulder Press x10 +Lateral Raise x10-5-5 +Standing Reverse Snow Angel x10,3,90
Back Flexion Stretch x10 +Lower Back Twist Stretch x10 +Pirifomis Muscle Stretch x10 +Cobra Pose x10,1,30
