exercise,round,rest
Push-up x20,2,30
"Archer push-up x5
Push-up x10",3,120
Dip x7-10,3,120
"Pull-up with bar x10
Superman x7-10",3,30
Pull-up x5-10,3,120
Chin-up x7-10,3,120
Tay trước x15,3,90
