exercise,round,rest
Chest press with band x12,2,15
Push-up xMax,3,30
Asymmetric push x10-10-5,1,30
Chest Wide Stretch x30s,1,40
Shoulder Press with band x? +Lateral Raise with band x? +Lateral Raise x10-10-5,2,70
Shoulder Stretch x30s,1,70
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
