exercise,round,rest
Khởi động vai x20,1,1
Quạt tay x10,3,30
Kéo lưng với dây x10-15,3,90
"Push-up x10
ép ngực 10-5-5",3,60
Vai trước với dây x10,3,60
Đẩy vai với dây xTrapSet,3,60
Vai giữa với dây x10,3,60
Tay sau xTrapSet,3,60
