exercise,round,rest
Squat x10,2,20
Seated Leg Press x10 +Slow Squat x10,3,100
Seated Leg Curl x10 +Calf Raise x20,3,90
Prone Leg Curl x10 +ABS: Crunch x20,3,90
ABS: Russian Twist x15,3,30
Plank jump-ins to Jump x7,3,40
Back Flexion Stretch x10s +Lower Back Twist Stretch x10s +Pirifomis Muscle Stretch x10s +Cobra Pose x10s,1,30
