exercise,round,rest
Bench Press x8 +Negative Push-up x10,3,120
Incline Dumbbell Bench Press x10 +Asymmetric push x10-10-5,3,90
Shoulder Press x10 + Lateral Raise x10-5-5,3,90
Lateral Pulldown x10 +Lateral Pulldown with bar x10-5-5,3,100
Single Arm Dumbbell Row x10 +Standing Reverse Snow Angel x10,3,90
Biceps xTrapset,3,60
Back Flexion Stretch x10 +Lower Back Twist Stretch x10 +Pirifomis Muscle Stretch x10 +Cobra Pose x10,1,30
