exercise,round,rest
"Khởi động vai x15
Simulator of Pull-Up x10",2,10
"Push-up x5
Knee push-up x7
Reverse snow angel x10",3,60
"Đẩy vai với dây x8-10
Row with band x12",3,50
"Leg: Squat kiễng chân x18
ABS: Crunch x15",3,40
"Leg: Bước chân lên ghế x8
ABS: Bycicle x16",3,40
"Leg: Ngồi xuống ghế x8
ABS: Leg lower plus 10-5-5",3,30
Giãn cơ x3,1,30
