exercise,round,rest
Push Up and Shoulder tap x10 + Squat x20,2,10
One Arm Push Up x10 +Push-up x12 +Piston Squat x10 +Calf Raise x40,3,60
Decline Push-up x12 +Push-up between 2 chairs x10 +Asymmetric push x10-5-5 +Shrimp Squat x12 +Toe Curl x40,3,50
Hand-stand Push-Up x12 +Lateral Raise with band x10-5-5 +Wide squat x10-10-5 +ABS: Crunch x30,3,30
Lean planche push-up x12 +Standing Lat Pull Down with Towel x10-5-5 +Reverse Snow Angel x12 +ABS: Bicycle x30,3,30
Row with band x15 +Biceps with band x15 +ABS: Reverse Crunch x30,3,20
Back Flexion Stretch x10s +Lower Back Twist Stretch x10s +Pirifomis Muscle Stretch x10s +The cat camel x10s +Cobra Pose x10s,1,30
