exercise,round,rest
Push Up and Shoulder tap x7,2,15
Heavy Push-up xMax,3,30
Push Up xMax +Asymmetric push x10-10-5,1,30
Chest Wide Stretch x30s,1,40
Lean planche push-up xMax +Lean planche hold xMax,3,30
Pike Push-up xMax,1,30
Lateral Raise with band xMax,3,30
Lateral Raise x10-10-5,1,30
Shoulder Stretch x30s,2,35
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
