exercise,round,rest
Push Up and Shoulder tap x10 + Squat x20,2,10
One Arm Push Up x8 +Push-up x10 +Piston Squat x8 +Calf Raise x40,3,60
Decline Push-up x12 +Decline Asymmetric push x10-5-5 +Shrimp Squat x12 +Toe Curl x40,3,50
Push-up between 2 chairs x12 +Asymmetric push x10-5-5 +Wide squat x10-10-5,3,20
Lean planche push-up x12 +Standing Snow Angel x12 +ABS: Crunch x30,3,30
Lateral Raise with band x10-5-5 +Standing Lat Pull Down with Towel x10-5-5 +ABS: Bicycle x30,3,30
Row with band x12 +Biceps with band x15 +ABS: Reverse Crunch x30,3,20
