exercise,round,rest
"Push Up + Shoulder tap x10 
Squat x20",2,10
"One Arm Push Up x6 Push-up x10 
Piston Squat x6 Calf Raise x30",3,60
"Decline Push-up x12
Single-leg Squat x10 Toe Curl x40",3,50
"Push-up beetween 2 chairs x12 Asymmetric push 10-5-5
Wide squat hold 10-10-5",3,20
"Lean planche push-up hold 1s x10
Reverse snow angel x10
ABS: Crunch x20",3,30
"Lateral Raise with band 10-5-5
Pull Up Simulator  10-5-5
ABS: Bycicle x20",3,30
"Row with band x15 Biceps with band x15
ABS: Leg lower plus 10-5-5",3,20
