exercise,round,rest
Scapular Shrugs x12,2,30
Incline Push-Up x12,3,60
Negative push-up x10 +Asymmetric push x10-5-5,3,90
Shoulder tap x15,3,30
Lat Pull Down with Towel x12,3,60
Plank x45s,3,60
Leg: Squat to Tiptoe x20,3,60
Leg: Step-up onto chair x10,3,60
Cobra Pose x3,1,30
