exercise,round,rest
Slow Squat x10,2,20
Jump Squat x10,3,100
Single Leg Step-down on the chair x10,3,60
Single Leg Stand-up from chair x10,3,60
Wide Squat x10-10-5 +ABS: Crunch x20,3,60
Squat to Tiptoe x20 +ABS: Bycicle x15,3,30
Hip Thrust x30s,3,30
Back Flexion Stretch x10s +Lower Back Twist Stretch x10s +Pirifomis Muscle Stretch x10s +The cat camel x10s +Cobra Pose x10s,1,30
