exercise,round,rest
Slow Squat xMax,2,15
Piston Squat xMax,3,90
Single Leg Squat xMax,3,90
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +The cat camel x10,1,30
