exercise,round,rest
Pull-up x5,2,15
Pull-up with weight xMax,3,30
Row with ring xMax,3,30
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
