exercise,round,rest
Push Up and Shoulder tap x10 + Slow Squat x20,2,10
One Arm Push Up x12 +Push-up x20 +Piston Squat x15 +Calf Raise x40,3,60
Decline Push-up x12 +Push-up between 2 chairs x20 +Asymmetric push x10-10-5 +Shrimp Squat to Tiptoe x15 +Toe Curl x40,3,50
Hand-stand Push-Up x20 +Lateral Raise with band x10-10-5 +Wide squat x10-10-5 +ABS: Crunch x35,3,30
Lean planche push-up x15 +Standing Lat Pull Down with Towel x10-10-5 +Reverse Snow Angel x12 +ABS: Bicycle x35,3,30
Row with band x15 +Biceps with band x15 +ABS: Reverse Crunch x30,3,20
Back Flexion Stretch x10 +Lower Back Twist Stretch x10 +Pirifomis Muscle Stretch x10 +The cat camel x10 +Cobra Pose x10,1,30
